batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
0,09:49:32,8.358,8.097,2.224,8.302,4.305,0.301,9.687,1.208,2.553,0.608
1,09:49:32,5.383,6.752,1.664,2.386,7.15,2.963,4.45,6.072,4.705,0.586
2,09:49:32,9.159,2.37,2.012,7.315,3.388,2.884,7.074,7.957,5.052,4.235
3,09:49:32,2.448,0.708,2.34,9.513,6.941,8.602,4.005,4.621,4.894,9.663
4,09:49:32,8.268,6.472,7.028,4.38,4.328,1.988,4.835,3.563,2.058,4.744
5,09:49:32,2.997,7.872,5.261,9.837,8.799,3.368,5.267,0.659,6.897,1.955
6,09:49:32,4.196,2.011,6.274,4.356,3.882,8.604,5.309,6.942,5.557,0.354
7,09:49:32,0.053,7.63,0.161,0.712,8.059,1.82,5.72,2.856,8.374,9.043
8,09:49:32,9.427,1.642,1.65,8.128,4.246,1.998,1.193,3.592,0.812,6.141
9,09:49:32,7.223,1.465,1.2,2.232,6.485,7.124,6.475,6.673,0.142,0.164
