batch,time
1,09:53:01,15.665,17.998,11.302,19.263,16.966,13.339,14.985,11.373,14.118,19.103
1,09:53:01,15.554,17.785,12.319,14.182,17.257,16.056,11.946,14.713,15.451,15.636
1,09:53:01,11.676,17.915,19.129,16.347,18.189,10.216,10.256,11.852,10.282,16.586
1,09:53:01,11.518,16.599,13.277,18.779,14.657,14.148,17.39,15.133,19.019,14.219
1,09:53:01,10.256,18.018,15.668,10.532,17.754,10.163,10.507,13.055,10.28,17.132
1,09:53:01,19.347,14.294,11.375,17.957,17.867,15.684,17.414,19.8,12.027,14.249
1,09:53:01,16.275,17.615,16.513,14.88,17.737,14.5,16.244,19.189,10.516,16.89
1,09:53:01,14.556,12.26,17.478,16.735,16.62,13.757,19.724,17.471,12.61,19.766
1,09:53:01,17.043,12.324,16.224,11.564,14.327,15.415,11.764,12.139,13.958,19.397
1,09:53:01,14.689,13.821,11.691,12.169,11.341,15.695,18.255,18.285,14.862,14.139
