batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
0,10:15:50,3.296,8.24,8.001,1.031,3.117,6.015,0.873,1.246,6.834,5.956
1,10:15:50,6.504,3.608,0.788,6.482,4.891,0.463,6.494,0.948,3.849,4.969
2,10:15:50,1.209,4.436,2.364,7.209,8.01,9.656,1.39,5.238,2.684,6.893
3,10:15:50,4.12,7.585,3.264,3.956,0.032,7.056,4.194,9.425,9.232,2.829
4,10:15:50,9.494,9.716,4.541,7.644,2.479,1.537,5.279,9.541,8.185,3.591
5,10:15:50,3.46,4.418,1.161,0.13,8.697,6.69,2.238,9.609,2.951,0.3
6,10:15:50,2.657,8.59,0.327,6.777,4.803,5.942,0.99,9.287,3.131,2.917
7,10:15:50,9.59,2.804,5.768,6.035,8.379,5.289,4.173,7.695,5.265,6.289
8,10:15:50,2.002,7.276,3.71,2.423,9.052,0.522,4.836,7.593,9.823,8.632
9,10:15:50,5.417,3.837,3.336,1.215,1.303,0.636,3.418,3.135,5.466,4.368
