batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
0,10:22:33,4.905,9.533,2.128,9.578,5.373,8.78,8.29,4.698,2.624,9.354
1,10:22:33,0.342,3.419,0.769,3.792,3.687,4.003,5.775,1.711,7.334,0.11
2,10:22:33,8.298,8.426,3.243,6.465,1.935,6.23,1.494,4.375,5.783,4.714
3,10:22:33,4.369,7.547,6.063,7.482,7.673,2.172,7.744,2.17,2.307,5.574
4,10:22:33,0.71,4.13,7.637,2.814,8.387,0.03,2.62,1.501,8.554,9.842
5,10:22:33,9.669,8.904,1.491,7.75,4.783,0.215,8.982,1.905,9.343,0.993
6,10:22:33,0.552,6.965,4.665,1.348,2.588,6.094,0.459,6.055,6.941,8.652
7,10:22:33,2.504,0.611,1.577,3.442,8.331,7.871,5.549,1.273,7.606,0.466
8,10:22:33,3.242,5.256,0.802,9.078,5.153,7.492,7.623,8.783,0.436,8.19
9,10:22:33,5.809,6.679,1.904,0.962,7.65,5.081,5.928,4.88,2.24,4.567
