batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
0,09:52:53,3.044,4.403,1.482,7.917,3.01,2.963,0.294,7.934,6.852,1.693
1,09:52:53,3.707,1.764,7.214,6.648,6.972,7.457,0.227,3.312,3.829,4.875
2,09:52:53,8.254,7.714,4.58,7.273,8.709,2.279,2.496,4.052,9.307,1.858
3,09:52:53,6.977,4.601,5.062,5.131,7.689,5.201,9.043,9.2,6.358,1.398
4,09:52:53,7.873,5.191,3.696,1.464,4.05,7.093,7.558,4.649,6.473,1.82
5,09:52:53,6.221,7.585,2.118,4.875,9.217,0.702,5.069,0.495,1.266,8.999
6,09:52:53,8.071,5.785,5.165,3.563,0.203,0.025,1.051,1.757,2.37,5.24
7,09:52:53,9.06,1.022,8.892,9.544,2.459,9.634,0.812,8.596,4.562,3.514
8,09:52:53,0.651,2.038,8.589,2.926,8.905,9.038,2.021,8.924,2.134,2.792
9,09:52:53,1.297,9.246,1.126,0.33,5.55,2.387,5.39,6.649,2.603,1.525
