batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
0,10:05:59,3.04,9.113,8.455,0.111,0.214,2.907,4.359,0.485,0.653,6.561
1,10:05:59,5.894,1.782,6.467,5.728,9.613,9.843,1.219,6.873,8.111,8.554
2,10:05:59,8.929,5.605,2.581,7.376,4.8,4.591,8.236,0.809,7.553,9.574
3,10:05:59,5.058,2.768,3.272,5.225,5.527,3.049,3.854,2.86,0.674,9.667
4,10:05:59,7.58,8.888,5.983,3.477,9.175,4.891,3.879,8.988,2.394,7.322
5,10:05:59,5.236,6.53,5.375,8.9,9.713,6.901,9.208,4.899,6.107,8.722
6,10:05:59,8.814,0.814,3.334,0.814,0.314,4.046,0.434,8.759,7.16,7.856
7,10:05:59,2.208,3.942,4.813,9.861,0.997,7.245,6.633,9.495,3.56,7.571
8,10:05:59,9.005,7.2,4.501,0.622,0.497,2.572,6.697,2.934,2.967,1.531
9,10:05:59,9.094,6.46,4.142,5.662,8.66,0.669,8.425,4.348,3.383,2.853
